book,tf,side,entry_time,entry,stop,tp1,tp2,qty,risk_pts,planned_rr,exit_time,exit_price,pnl,r,exit_reason,tp1_hit,mfe_pts,mae_pts
swing-4h,4h,1,2024-06-16 18:00:00-04:00,21768.75,21754.17413111736,21783.32586888264,,13,14.575868882639043,1.0,2024-06-16 18:00:00-04:00,21753.92413111736,-404.9725909486151,-1.0686065446973851,stop,False,0.0,0.0
swing-4h,4h,1,2024-06-20 09:00:00-04:00,22017.935,21917.155720112092,22118.71427988791,,1,100.77927988790907,1.0,2024-06-20 12:00:00-04:00,21916.905720112092,-203.55855977581814,-1.0099226745925576,stop,False,23.81499999999869,198.6850000000013
ote-1h,1h,1,2024-06-27 11:00:00-04:00,22076.885,22002.37986098441,22170.016423769484,,1,74.50513901558952,1.25,2024-06-27 16:00:00-04:00,22121.5,87.7300000000032,0.588751334197541,eod,False,62.8650000000016,22.3849999999984
swing-4h,4h,1,2024-07-11 10:00:00-04:00,22829.34,22682.26294592066,22976.417054079342,,1,147.0770540793419,1.0,2024-07-11 10:00:00-04:00,22682.01294592066,-296.1541081586838,-1.0067991571238606,stop,False,0.0,0.0
swing-4h,4h,1,2024-09-24 10:00:00-04:00,21928.87,21833.154066457268,22024.58593354273,,1,95.71593354273136,1.0,2024-09-24 11:00:00-04:00,22024.58593354273,189.93186708546273,0.9921643140045731,tp1,True,174.38000000000102,0.0
swing-4h,4h,1,2024-09-26 10:00:00-04:00,22132.93,21942.367770014174,22323.492229985826,,1,190.56222998582598,1.0,2024-09-26 16:00:00-04:00,22230.0,192.63999999999942,0.5054516837211864,eod,False,118.06999999999971,56.43000000000029
swing-4h,4h,1,2024-10-10 09:00:00-04:00,22193.465,22074.97893345605,22311.951066543952,,1,118.48606654395189,1.0,2024-10-10 11:00:00-04:00,22311.951066543952,235.47213308790379,0.9936701417991474,tp1,True,172.53499999999985,0.0
swing-4h,4h,1,2024-10-11 03:00:00-04:00,22268.565,22180.506785193105,22356.623214806892,,2,88.05821480689337,1.0,2024-10-11 16:00:00-04:00,22347.311607403448,311.98642961378937,0.8857391394373533,eod,True,114.18500000000131,65.31499999999869
swing-4h,4h,1,2024-11-11 09:00:00-05:00,23093.47,23001.281184009276,23185.658815990726,,2,92.18881599072483,1.0,2024-11-11 13:00:00-05:00,23001.031184009276,-372.75526396289933,-1.010847302780205,stop,False,39.279999999998836,106.72000000000116
swing-4h,4h,1,2024-11-21 10:00:00-05:00,22516.04,22351.550158679718,22680.529841320284,,1,164.48984132028272,1.0,2024-11-21 12:00:00-05:00,22680.529841320284,327.47968264056544,0.9954404479086362,tp1,True,229.45999999999913,0.0
swing-4h,4h,1,2024-12-09 10:00:00-05:00,23420.22,23306.522170682336,23533.917829317666,,1,113.69782931766531,1.0,2024-12-09 16:00:00-05:00,23374.0,-93.94000000000233,-0.4131125482507642,eod,False,18.029999999998836,95.72000000000116
swing-4h,4h,1,2024-12-13 10:00:00-05:00,23583.76,23484.633442300023,23682.886557699974,,2,99.12655769997582,1.0,2024-12-13 16:00:00-05:00,23684.443278849987,399.73311539995484,1.0081382948094957,eod,True,128.7400000000016,28.7599999999984
swing-4h,4h,-1,2025-01-02 01:00:00-05:00,23074.255,23219.91083105302,22928.59916894698,,1,145.65583105301994,1.0,2025-01-02 09:00:00-05:00,22928.59916894698,289.8116621060399,0.9948508755565921,tp1,True,228.00500000000102,95.99499999999898
swing-4h,4h,-1,2025-01-08 21:00:00-05:00,23020.84,23142.977019425918,22898.702980574082,,1,122.13701942591797,1.0,2025-01-09 03:00:00-05:00,22898.702980574082,242.77403885183594,0.9938593556357832,tp1,True,123.09000000000015,3.6599999999998545
ote-1h,1h,-1,2025-01-14 08:00:00-05:00,22758.08,22829.83755191466,22668.383060106677,,1,71.75755191465942,1.25,2025-01-14 09:00:00-05:00,22668.383060106677,177.89387978665036,1.2395481384190605,tp1,True,112.08000000000175,51.169999999998254
ote-1h,1h,-1,2025-01-21 11:00:00-05:00,23332.6,23417.20889889404,23226.838876382444,,1,84.6088988940428,1.25,2025-01-21 12:00:00-05:00,23417.45889889404,-171.2177977880856,-1.0118190877445683,stop,False,3.099999999998545,90.15000000000146
swing-4h,4h,1,2025-02-07 10:00:00-05:00,23470.715,23372.595212733937,23568.834787266063,,2,98.11978726606321,1.0,2025-02-07 10:00:00-05:00,23372.345212733937,-396.47914906425285,-1.01019162421631,stop,False,0.0,0.0
swing-4h,4h,1,2025-04-28 11:00:00-04:00,20863.565,20689.49452682254,21037.63547317746,,1,174.07047317746037,1.0,2025-04-28 15:00:00-04:00,21037.63547317746,346.64094635492074,0.9956914002339995,tp1,True,207.9350000000013,113.56499999999869
swing-4h,4h,1,2025-04-29 23:00:00-04:00,20988.74,20853.03529312245,21124.44470687755,,1,135.70470687755005,1.0,2025-04-30 08:00:00-04:00,20852.78529312245,-273.4094137551001,-1.0073689411591473,stop,False,126.7599999999984,238.4900000000016
swing-4h,4h,1,2025-05-09 10:00:00-04:00,21607.885,21454.856797977664,21760.913202022333,,1,153.02820202233488,1.0,2025-05-09 16:00:00-04:00,21628.75,40.2300000000032,0.1314463591297097,eod,False,70.3650000000016,53.6349999999984
swing-4h,4h,1,2025-05-15 15:00:00-04:00,22841.77,22716.14674146154,22967.39325853846,,1,125.6232585384605,1.0,2025-05-15 16:00:00-04:00,22911.75,138.45999999999913,0.5510922165643736,eod,False,0.0,0.0
swing-4h,4h,1,2025-05-18 18:00:00-04:00,22803.5,22671.041152388967,22935.958847611033,,1,132.45884761103298,1.0,2025-05-19 03:00:00-04:00,22670.791152388967,-266.91769522206596,-1.0075495145702649,stop,False,107.25,148.5
swing-4h,4h,1,2025-06-05 08:00:00-04:00,23210.32,23122.369675564023,23298.270324435976,,2,87.95032443597665,1.0,2025-06-05 10:00:00-04:00,23254.17016221799,172.4006488719533,0.49005120213471237,tp1+stop,True,160.9300000000003,26.06999999999971
swing-4h,4h,1,2025-06-10 01:00:00-04:00,23306.505,23197.071309723375,23415.938690276627,,1,109.4336902766263,1.0,2025-06-10 13:00:00-04:00,23415.938690276627,217.3673805532526,0.9931465346905131,tp1,True,117.24499999999898,81.50500000000102
swing-4h,4h,1,2025-06-11 14:00:00-04:00,23367.025,23212.093753605106,23521.956246394897,,1,154.93124639489542,1.0,2025-06-11 16:00:00-04:00,23380.0,24.44999999999709,0.07890596819210335,eod,False,18.224999999998545,50.025000000001455
ote-1h,1h,1,2025-06-18 13:00:00-04:00,23054.245,22984.560098689395,23141.351126638256,,1,69.68490131060389,1.25,2025-06-18 14:00:00-04:00,22984.310098689395,-141.36980262120778,-1.0143503109166037,stop,False,89.50500000000102,100.49499999999898
swing-4h,4h,1,2025-06-22 18:00:00-04:00,22896.68,22708.858703199952,23084.50129680005,,1,187.821296800048,1.0,2025-06-23 01:00:00-04:00,23084.50129680005,374.142593600096,0.9960068426063609,tp1,True,205.3199999999997,0.0
swing-4h,4h,1,2025-07-09 10:00:00-04:00,24224.28,24117.75333741948,24330.80666258052,,1,106.52666258051977,1.0,2025-07-09 15:00:00-04:00,24330.80666258052,211.55332516103954,0.9929595090859709,tp1,True,119.47000000000116,18.279999999998836
swing-4h,4h,1,2025-07-10 09:00:00-04:00,24231.685,24120.622609739414,24342.74739026059,,1,111.06239026058756,1.0,2025-07-10 16:00:00-04:00,24301.0,137.12999999999738,0.6173557028542558,eod,False,104.31499999999869,44.43500000000131
ote-1h,1h,1,2025-07-11 11:00:00-04:00,24197.66,24132.54186168258,24279.05767289677,,1,65.11813831741892,1.25,2025-07-11 12:00:00-04:00,24279.05767289677,161.29534579354367,1.238482471714011,tp1,True,96.59000000000015,0.0
ote-1h,1h,1,2025-07-16 09:00:00-04:00,24274.435,24210.463528774653,24354.399339031686,,1,63.97147122534807,1.25,2025-07-16 11:00:00-04:00,24210.213528774653,-129.94294245069614,-1.0156319681390062,stop,False,57.31499999999869,152.6850000000013
swing-4h,4h,1,2025-07-25 04:00:00-04:00,24638.685,24576.061368076003,24701.308631924,,3,62.62363192399789,1.0,2025-07-25 16:00:00-04:00,24705.602877308,397.00726384799054,1.05659597303941,eod,True,123.31499999999869,21.93500000000131
