book,tf,side,entry_time,entry,stop,tp1,tp2,qty,risk_pts,planned_rr,exit_time,exit_price,pnl,r,exit_reason,tp1_hit,mfe_pts,mae_pts
scalp-5m,5m,-1,2026-07-21 09:00:00-04:00,29443.25,29476.833363962076,29409.666636037924,,3,33.583363962075964,1.0,2026-07-21 09:25:00-04:00,29477.08336396208,-207.50018377245578,-1.029776647781004,stop,False,8.25,61.0
scalp-5m,5m,-1,2026-07-23 15:30:00-04:00,28839.25,28886.484215557266,28792.015784442734,,2,47.234215557266,1.0,2026-07-23 15:40:00-04:00,28792.015784442734,185.936862229064,0.9841216797791272,tp1,True,58.5,5.75
scalp-5m,5m,-1,2026-07-24 08:30:00-04:00,28921.75,28982.299811029014,28861.200188970986,,2,60.549811029013654,1.0,2026-07-24 09:00:00-04:00,28861.200188970986,239.19924411605462,0.987613503869721,tp1,True,60.75,22.0
scalp-5m,5m,-1,2026-07-24 15:35:00-04:00,28553.0,28612.065977822524,28493.934022177476,,2,59.065977822523564,1.0,2026-07-24 16:40:00-04:00,28569.75,-70.0,-0.2962788502813331,eod,False,49.25,55.75
scalp-5m,5m,-1,2026-07-28 14:50:00-04:00,28230.75,28282.7502283348,28178.7497716652,,2,52.00022833480034,1.0,2026-07-28 15:00:00-04:00,28283.0002283348,-212.00091333920136,-1.0192306847877968,stop,False,12.75,68.5
scalp-5m,5m,-1,2026-08-05 12:30:00-04:00,30074.25,30145.29423882036,30003.20576117964,,1,71.04423882035917,1.0,2026-08-05 14:55:00-04:00,30003.20576117964,140.58847764071834,0.9894431974716988,tp1,True,72.25,31.25
scalp-5m,5m,-1,2026-08-05 15:15:00-04:00,30045.5,30070.869215472765,30020.130784527235,,4,25.369215472765063,1.0,2026-08-05 15:30:00-04:00,30020.130784527235,196.9537237821205,0.9704366104342029,tp1,True,41.25,10.25
scalp-5m,5m,-1,2026-08-10 11:55:00-04:00,30123.0,30175.550695562182,30070.449304437818,,2,52.55069556218223,1.0,2026-08-10 12:30:00-04:00,30070.449304437818,207.2027822487289,0.9857280671173507,tp1,True,99.75,15.0
scalp-5m,5m,-1,2026-08-10 13:25:00-04:00,30066.5,30126.14441782604,30006.85558217396,,2,59.64441782603899,1.0,2026-08-10 15:55:00-04:00,30006.85558217396,235.57767130415596,0.987425478739897,tp1,True,64.75,9.25
scalp-5m,5m,-1,2026-08-11 12:40:00-04:00,29916.0,29964.03617873902,29867.96382126098,,2,48.036178739021125,1.0,2026-08-11 13:10:00-04:00,29867.96382126098,189.1447149560845,0.9843867680634064,tp1,True,59.75,6.25
scalp-5m,5m,-1,2026-08-11 13:55:00-04:00,29907.75,29948.704188618598,29866.795811381402,,3,40.95418861859798,1.0,2026-08-11 14:20:00-04:00,29866.795811381406,241.2251317115879,0.9816868548664296,tp1,True,54.5,7.25
scalp-5m,5m,1,2026-08-25 11:50:00-04:00,29536.75,29472.198031041728,29601.301968958272,,1,64.55196895827248,1.0,2026-08-25 16:40:00-04:00,29572.25,69.5,0.5383259497857146,eod,False,56.0,55.5
scalp-5m,5m,1,2026-08-26 10:30:00-04:00,29476.75,29408.435371867992,29545.064628132008,,1,68.31462813200778,1.0,2026-08-26 10:50:00-04:00,29545.064628132008,135.12925626401557,0.9890213850165336,tp1,True,70.5,14.25
scalp-5m,5m,1,2026-08-26 15:55:00-04:00,29576.75,29541.799073731367,29611.700926268633,,3,34.95092626863334,1.0,2026-08-26 16:00:00-04:00,29611.700926268633,205.20555761180003,0.978541341244135,tp1,True,50.75,14.25
scalp-5m,5m,1,2026-08-28 08:40:00-04:00,29937.75,29875.05494948432,30000.44505051568,,1,62.695050515678304,1.0,2026-08-28 09:30:00-04:00,29874.80494948432,-127.39010103135661,-1.0159502224142865,stop,False,23.25,95.75
swing-4h,4h,1,2026-09-08 06:05:00-04:00,29860.015,29730.958699277497,29989.071300722502,,1,129.05630072250278,1.0,2026-09-08 10:00:00-04:00,29730.708699277497,-260.11260144500557,-1.0077485562068775,stop,False,105.73500000000058,144.51499999999942
scalp-5m,5m,1,2026-09-08 13:00:00-04:00,29909.75,29838.232031295294,29981.267968704706,,1,71.51796870470571,1.0,2026-09-08 14:45:00-04:00,29837.982031295294,-145.03593740941142,-1.013982500036165,stop,False,11.0,110.75
scalp-5m,5m,1,2026-09-11 08:35:00-04:00,29643.25,29581.100018001016,29705.399981998984,,2,62.149981998984,1.0,2026-09-11 08:50:00-04:00,29705.399981998984,245.599927995936,0.987932418065507,tp1,True,82.5,21.25
scalp-5m,5m,1,2026-09-16 08:45:00-04:00,29397.5,29361.783480636866,29433.216519363134,,3,35.71651936313356,1.0,2026-09-16 09:45:00-04:00,29433.216519363134,209.79911617880134,0.9790013133033857,tp1,True,67.5,33.75
scalp-5m,5m,1,2026-09-17 10:55:00-04:00,29680.25,29636.070523729526,29724.429476270474,,2,44.17947627047397,1.0,2026-09-17 11:40:00-04:00,29724.429476270474,173.71790508189588,0.9830237915133176,tp1,True,60.75,28.25
scalp-5m,5m,1,2026-09-17 12:35:00-04:00,29730.0,29714.823069766084,29745.176930233916,,8,15.17693023391621,1.0,2026-09-17 12:40:00-04:00,29745.176930233916,230.83088374265935,0.9505828920314887,tp1,True,16.75,5.25
scalp-5m,5m,1,2026-09-21 08:40:00-04:00,30255.75,30214.397301264766,30297.102698735234,,3,41.3526987352343,1.0,2026-09-21 09:20:00-04:00,30214.147301264766,-254.1161924114058,-1.0241822185875369,stop,False,2.75,53.5
